"indexbrawddeg","yfrawddeg","numberunits","valueunits","mediumval","rel_mediumval","mediumval_sq","rel_mediumval_sq","mediumval_nusq","rel_mediumval_nusq","mediumval_sq_nusq","rel_mediumval_sq_nusq","mediumval_hnu","rel_mediumval_hnu","mediumval_sq_hnu","rel_mediumval_sq_hnu","finished","tagref","tagcategory","tagfunction"
"289"," A chyuodi y uynyd, a dodi y deudroet yn y got, a troi o Pwyll y got yny uyd Guawl dros y penn yn y got ac yn gyflym caeu y got, a llad clwm ar y carryeu, a dodi llef ar y gorn","44","1.58351","0.035989","0.175923","0.0569891","1.36176","0.000817931","0.00399826","0.00129521","0.030949","0.000000000218226","0.00000000106674","0.000000000345564","0.00000000825727","1",,,
"290"," Ac ar hynny, llyma y teulu am penn y llys, ac yna kymryt pawb o r niuer a doeth y gyt a Guawl, a y dodi yn y carchar e hun","31","0.972562","0.031373","0.15336","0.0305122","0.729096","0.00101203","0.00494709","0.000984264","0.0235192","0.00000000109584","0.00000000535677","0.00000000106577","0.0000000254669","1",,,
"291"," A bwrw y bratteu a r loppaneu a r yspeil didestyl y amdanaw a oruc Pwyll","16","0.649536","0.040596","0.19845","0.0263686","0.630117","0.00253725","0.0124031","0.00164803","0.0393823","0.0000000387154","0.000000189256","0.000000025147","0.000000600926","1",,,
"292"," Ac mal y delei pob un o e niuer ynteu y mywn, y trawei pob un dyrnawt ar y got, ac y gouynnei, Beth yssyd ymma?","26","0.623602","0.0239847","0.117238","0.0149569","0.35736","0.000922489","0.00450914","0.000575266","0.0137446","0.00000000201868","0.00000000986733","0.00000000125885","0.0000000300774","1",,,
"293"," Broch, medynt wynteu","3","0.001402","0.000467333","0.00228433","0.000000655201","0.0000156545","0.000155778","0.000761444","0.0000002184","0.00000521818","0.00000192318","0.00000940055","0.0000000026963","0.000000064422","1",,,
"294"," Sef kyfryw chware a wneynt, taraw a wnai pob un dyrnawt ar y got, ae a e droet ae a throssawl; ac yuelly guare a r got a wnaethont","29","0.781291","0.0269411","0.131706","0.0210488","0.50305","0.000929002","0.0045416","0.000725821","0.0173466","0.00000000131348","0.00000000642121","0.00000000102621","0.0000000245257","1",,,
"295"," Pawb, ual y delei, a ouynnei, Pa chware a wnewch chwi uelly?","12","0.309597","0.0257997","0.126122","0.00798752","0.19088","0.00214998","0.0105101","0.000665626","0.0159067","0.000000103683","0.000000506855","0.0000000321","0.000000767106","1",,,
"296"," Guare broch yg got, medynt wynteu","6","0.0057353","0.000955883","0.004673","0.00000548228","0.000131022","0.000159314","0.000778833","0.000000913713","0.0000218369","0.000000122927","0.000000600952","0.000000000705025","0.0000000168495","1",,,
"297"," Ac yna gyntaf y guarywyt broch yg got","8","0.137032","0.017129","0.0837291","0.00234722","0.0560845","0.00214113","0.0104661","0.000293403","0.00701057","0.000000522736","0.00000255521","0.0000000716316","0.00000171156","1",,,
"298"," Arglwyd, heb y gwr o r got, pei guarandawut uiui, nyt oed dihenyd arnaf uy llad y mywn got","19","0.293697","0.0154577","0.0755545","0.00453988","0.108461","0.000813564","0.00397655","0.000238941","0.00570849","0.00000000624277","0.0000000305135","0.00000000183348","0.0000000438033","1",,,
"299"," Arglwyd, heb Eueyd Hen, guir a dyweit","7","0.129616","0.0185165","0.0905186","0.00240003","0.0573553","0.00264522","0.0129312","0.000342862","0.00819362","0.00000110172","0.00000538577","0.0000001428","0.00000341259","1",,,
"300"," Iawn yw yt y warandaw; nyt dihenyt arnaw hynny","9","0.120846","0.0134274","0.065631","0.00162264","0.0387669","0.00149193","0.00729234","0.000180294","0.00430743","0.000000227393","0.00000111147","0.0000000274796","0.000000656521","1",,,
"301"," Ie, heb y Pwyll, mi a wnaf dy gynghor di amdanaw ef","12","0.27213","0.0226775","0.110853","0.00617124","0.14746","0.00188979","0.00923773","0.00051427","0.0122883","0.0000000911359","0.000000445492","0.0000000248008","0.000000592609","1",,,
"302"," Llyna dy gynghor di, heb Riannon yna","7","0.0404013","0.00577161","0.0282099","0.000233181","0.00557057","0.000824516","0.00402998","0.0000333115","0.000795796","0.000000343405","0.00000167846","0.000000013874","0.000000331444","1",,,
"303"," Yd wyt yn y lle y perthyn arnat llonydu eircheit a cherdoryon","12","0.335367","0.0279472","0.136612","0.00937257","0.223955","0.00232894","0.0113844","0.000781048","0.0186629","0.000000112314","0.000000549014","0.0000000376663","0.000000900026","1",,,
"304"," Gat yno ef y rodi drossot y pawb, heb hi, a chymer gedernit y ganthaw na bo ammouyn na dial uyth amdanaw, a digawn yw hynny o gosp arnaw","29","0.603291","0.0208031","0.10169","0.0125503","0.299883","0.000717349","0.00350654","0.00043277","0.0103408","0.00000000101424","0.00000000495778","0.000000000611879","0.0000000146205","1",,,
"305"," Ef a geif hynny yn llawen, heb y gwr o r got","12","0.318783","0.0265653","0.129858","0.00846858","0.202356","0.00221377","0.0108215","0.000705715","0.016863","0.00000010676","0.000000521869","0.0000000340333","0.000000813225","1",,,
"306"," A minheu a e kymmeraf yn llawen, heb y Pwyll, gan gynghor Heueyd a Riannon","15","0.472479","0.0314986","0.153982","0.0148824","0.355656","0.0020999","0.0102655","0.00099216","0.0237104","0.0000000414796","0.000000202774","0.0000000195982","0.000000468354","1",,,
"307"," Kynghor yw hynny gynnym ni, heb wynt","7","0.0430777","0.00615396","0.0300804","0.000265098","0.00633383","0.000879137","0.00429721","0.0000378712","0.000904833","0.000000366154","0.00000178976","0.0000000157731","0.000000376857","1",,,
"308"," Y gymryt a wnaf, heb y Pwyll","7","0.337277","0.0481824","0.23552","0.0162508","0.388286","0.0068832","0.0336457","0.00232155","0.0554695","0.00000286681","0.0000140132","0.000000966908","0.0000231027","1",,,
"309"," Keis ueicheu drossot","3","0.0006373","0.000212433","0.00103837","0.000000135384","0.00000323462","0.0000708111","0.000346122","0.0000000451279","0.00000107821","0.000000874211","0.00000427311","0.000000000557135","0.0000000133112","1",,,
